org,repo,activity,comments,prs,commits,issues,pushes,authors,project,url
fluent,fluent-bit+fluent-bit-docs+fluent-operator+fluentd+helm-charts+fluentd-website+cmetrics+fluent-bit-website+fluentd-docs-gitbook+fluentd-kubernetes-daemonset+fluent-package-builder+fluent-plugin-grok-parser+fluent-plugin-mongo+chunkio+fluent-logger-ruby+fluent-plugin-kafka+fluent-plugin-parser-winevt_xml+fluent-plugin-prometheus+fluent-plugin-sql+fluentd-docker-image+cprofiles+ctraces+fluent-bit-test-suite+fluent-plugin-opensearch+fluent-plugin-parser-cri+fluent-plugin-prometheus_pushgateway+fluent-plugin-s3+fluent-plugin-sd-dns+fluent-plugin-webhdfs+fluent-plugin-windows-eventlog+fluentd.cncf.io+cfl+fluent-bit-artwork+fluent-bit-go+fluent-otel-proto+fluent-plugin-rewrite-tag-filter+fluent-plugin-scribe+fluent-plugin-splunk+onigmo+fluent-bit-infra+fluentd-ui+ripser,8721,4014,1713,4922,727,2267,263,Fluentd,fluentd.org
jaegertracing,jaeger+jaeger-ui+helm-charts+documentation+jaeger-idl+spark-dependencies+grafana-plugin+.github+base-image-with-debugger+docker-protobuf+jaeger-clickhouse+jaeger-operator+maintainer-tools,8242,4991,1217,1218,405,1629,262,Jaeger,jaeger.readthedocs.io/en/latest
dapr,docs+dapr+components-contrib+dotnet-sdk+python-sdk+dapr-agents+java-sdk+quickstarts+community+cli+go-sdk+kit+js-sdk+proposals+samples+test-infra+.github+blog+rust-sdk+dapr-shared+dashboard+docs-zh+kubernetes-operator+php-sdk+testcontainer-node+website+mechanical-markdown+release+helm-charts+installer-bundle,9919,5346,1656,5406,862,2055,262,Dapr,dapr.io
goharbor,harbor+harbor-helm+harbor-cli+website+terraform-provider-harbor+community+acceleration-service+chartmuseum-migration-tools+homebrew-tap+harbor-operator+jenkins-shared-library+go-client+perf,4097,2364,682,1021,491,560,253,Harbor,goharbor.io
volcano-sh,volcano+kthena+agentcube+website+apis+community+dashboard+volcano-global+helm-charts,8201,6402,719,2681,487,593,247,Volcano,volcano.sh
kedacore,keda+keda-docs+charts+http-add-on+keda-olm-operator+test-tools+testing-infrastructure+external-scaler-azure-cosmos-db+governance+external-scalers,3849,2467,521,800,318,543,243,KEDA,keda.sh
sigstore,cosign+fulcio+helm-charts+sigstore-probers+sigstore-go+community+timestamp-authority+model-transparency+rekor+sigstore-python+sigstore+docs+rekor-tiles+root-signing+sigstore-conformance+terraform-modules+cosign-installer+sigstore-ruby+gitsign+sigstore-js+policy-controller+protobuf-specs+rekor-monitor+root-signing-staging+scaffolding+sigstore-rs+model-validation-operator+sigstore-blog+sigstore-rekor-types+sigstore-java+sigstore-website+k8s-manifest-sigstore+sigstore-a2a+gh-action-sigstore-python+rekor-search-ui+.github+cosign-gatekeeper-provider,9730,4038,1345,2718,563,3784,228,sigstore,sigstore.dev
ceph,ceph.io+ceph-build+ceph-csi+teuthology+s3-tests+ceph-csi-operator+go-ceph+ceph-nvmeof+ceph.automation+cephadm-ansible+ceph-ansible+cbt+ceph-cosi,6817,3950,900,4047,239,1728,219,Ceph,ceph.io
alibaba+higress-group,higress+higress+hiclaw+himarket+higress-group.github.io+higress-console+wasm-go+openapi-to-mcpserver+db-log-pusher+higress-dify-plugin+mock-server+higress-standalone+TaDashboard+frontend-gray-plugin+gjson_template+higress-ai-agent+higress-report-agent+plugin-server+ai-gateway-plugin+issue-spec,4072,2013,678,3939,641,740,215,Higress,higress.ai
fluid-cloudnative,fluid+charts+fluid-ks-extension+fluid-cli+fluid-cloudnative.github.io+community,1254,538,318,715,69,329,214,Fluid,github.com/fluid-cloudnative
cloudnative-pg,cloudnative-pg+charts+artifacts+cloudnative-pg.github.io+plugin-barman-cloud+postgres-extensions-containers+postgres-containers+docs+docs-new+barman-cloud+cnpg-i+machinery+daggerverse+cnpg-playground+postgis-containers+cnpg-i-machinery+pgbouncer-containers+postgres-keycloak-oauth-validator+api+cnpg-i-hello-world+governance+.project+postgres-trunk-containers+chaos-testing+ciclops+grafana-dashboards+.github+pgcrash-containers+webtest+artwork+cnpg-template+github-test,13254,3806,1180,5333,946,7322,213,CloudNativePG,cloudnative-pg.io
helm,helm+helm-www+community+chart-testing-action+kind-action+chart-testing+chartmuseum+chart-releaser+helm-mapkubeapis,4845,3109,703,2271,422,611,212,Helm,helm.sh
kgateway-dev,kgateway+kgateway.dev+community+dashboards+pr-kind-labeler+krtequals+prow-gh-test,10250,6796,1282,3215,947,1225,196,kgateway,kgateway.dev
mavlink,qgroundcontrol+mavlink+MAVSDK+mavros+rust-mavlink+MAVSDK-Proto+MAVSDK-Java+MAVSDK-Python+mavlink-camera-manager+mavlink2rest,6033,2878,1090,2605,553,1512,195,MAVLink,mavlink.org
Project-HAMi,HAMi+website+HAMi-core+HAMi-DRA+volcano-vgpu-device-plugin+ascend-device-plugin+HAMi-WebUI+hami-vnpu-core+mock-device-plugin+.project+community+KAI-resource-isolator+biren-device-plugin+dcu-vgpu-device-plugin+kubecon-demo+hami-workshop,2656,1405,391,1674,241,619,190,HAMi,project-hami.io
zowe,zowe-install-packaging+docs-site+zowe-explorer-vscode+zowe-pli-language-support+api-layer+cics-for-zowe-client+zowe-cli+zowe-native-proto+zowex+zowe-common-c+zss+zowe-client-java-sdk+zowe-explorer-intellij+zowe-client-python-sdk+launcher+zowe.github.io+community+zowe-cli-sample-plugin+zowe-cli-standalone-package+zowe-cli-mq-plugin,27398,6335,1625,18894,1148,18290,185,Zowe,zowe.org
cert-manager,cert-manager+website+trust-manager+testing+approver-policy+aws-privateca-issuer+istio-csr+csi-driver+csi-driver-spiffe+makefile-modules+cmctl+google-cas-issuer+webhook-cert-lib+helm-tool+openshift-routes+issuer-lib+csi-lib+image-tool+release+trust-manager-csi-driver+print-your-cert+sample-external-issuer+community+example-approver-policy-plugin+infrastructure+klone+renovate-config+base-images+boilersuite+webhook-example+vault-issuer,9270,3428,588,2931,201,5053,185,cert-manager,cert-manager.io
onnx,onnx+onnx-mlir+ir-py+optimizer+sklearn-onnx+onnxmltools+tensorflow-onnx+onnx.github.io+backend-scoreboard+sigs+models+onnx-tensorrt,6168,2773,976,1872,309,2110,180,Open Neural Network Exchange,onnx.ai
falcosecurity,falco+plugins+libs+charts+falco-website+falcosidekick+rules+evolution+test-infra+k8s-metacollector+plugin-sdk-cpp+prempti+falco-operator+falcoctl+plugin-sdk-rs+testing+driverkit+event-generator+falco-talon+falcosidekick-ui+kernel-crawler+kernel-testing+plugin-sdk-go+falco-actions+client-go+community+dbg-go+deploy-kubernetes+falco-lsp+syscalls-bumper,4397,2130,414,3198,142,1711,174,Falco,falco.org
openfga,openfga+openfga.dev+helm-charts+sdk-generator+community+java-sdk+js-sdk+python-sdk+api+go-sdk+cli+dotnet-sdk+spring-boot-starter+language+vscode-ext+intellij-plugin+frontend-utils+terraform-provider-openfga+action-openfga-deploy+.github+action-openfga-test+ai-pr-analyzer-gh-action+flask-demo+homebrew-tap+model-visualizer+openfga-envoy+rfcs+sample-stores+agent-skills+authzen-interop+openfga-contrib+roadmap+openfga-cedar-comparison,7958,3147,918,3094,215,3678,173,OpenFGA,openfga.dev
kserve,kserve+website+models-web-app+community+modelmesh+.project+artwork+kserve.github.io+modelmesh-runtime-adapter+modelmesh-serving,3017,2020,434,754,187,376,173,KServe,kserve.github.io/website
ovn-kubernetes+ovn-org,ovn-kubernetes+ovn+kubernetes-traffic-flow-tests+ovn-kubernetes-mcp+dpu-simulator+libovsdb+ovn-fake-multinode+ovn-heater+ovn-vif+ovn-website+libovsdb+ovn-org.github.io,9053,7574,501,4104,212,766,173,OVN-Kubernetes,ovn-kubernetes.io
litmuschaos,litmus+litmus-docs+litmus-go+litmus-helm+litmusctl+chaos-charts+litmus-website-2+test-tools+killercoda-scenarios+litmus-mcp-server+chaos-operator+charthub.litmuschaos.io+litmus-cd+litmus-python,1539,745,238,548,277,279,169,LitmusChaos,litmuschaos.io
fluxcd,flux2+website+pkg+flagger+kustomize-controller+image-automation-controller+source-controller+helm-controller+notification-controller+source-watcher+image-reflector-controller+community+go-git-providers+terraform-provider-flux+agent-skills+gha-workflows+skills+flux-mirror+flux-schema+flux2-kustomize-helm-example+plugins+flux-benchmark+flux2-multi-tenancy+homebrew-tap+.github+flux2-monitoring-example+stats+test-infra,5292,2074,883,5053,253,2082,167,Flux,github.com/fluxcd
etcd-io,etcd+website+etcd-operator+raft+auger+jetcd,7119,5309,735,2702,338,737,167,etcd,coreos.com/etcd
tektoncd+tektoncd-catalog,pipeline+pipelines-as-code+operator+chains+community+cli+results+website+plumbing+triggers+catalog+pruner+dashboard+git-clone+hub+catlin,8914,4998,870,3200,301,2745,166,Tekton,tekton.dev
runatlantis,atlantis+helm-charts+terraform-gce-atlantis+atlantis-contrib+atlantis-tests+org,2921,705,186,627,98,1932,165,Atlantis,runatlantis.io
k3s-io,k3s+k3s-ansible+docs+kine+klipper-helm+helm-controller+cluster-api-k3s+k3s-io.github.io+k3s-selinux+klipper-lb+k3s-charts+k3s-upgrade+vagrant-k3s+api+k3s-root+scans,3992,1704,628,2277,746,914,156,K3s,k3s.io
podman-desktop,podman-desktop+extension-bootc+extension-podman-quadlet+extension-kubernetes-dashboard+podman-desktop-catalog+e2e+extension-minikube+extension-github+extension-postgresql+extension-kreate+extension-kubernetes-contexts+extension-layers-explorer+extension-template-full+tool-release-notes+extension-template-minimal+3m+extension-apple-container+extension-grype+extension-pack-kubernetes+extension-kind+eslint-plugin+gh-extensions-actions+.github+extension-template-webview,20153,7920,2105,4177,2344,7784,156,Podman Desktop,podman-desktop.io
knative+knative-extensions,docs+func+community+eventing+serving+pkg+eventing-kafka-broker+operator+kn-plugin-quickstart+eventing-integrations+eventing-natss+homebrew-kn-plugins+reconciler-test+infra+eventing-rabbitmq+kn-plugin-source-kafka+net-kourier+hack+networking+release+kn-plugin-event+knobots+client+educational-game+net-gateway-api+actions+homebrew-client+eventing-gitlab+eventing-istio+func-go+func-python+kn-plugin-operator+net-istio+autoscaler-keda+backstage-plugins+eventing-autoscaler-keda+eventing-github+net-contour+sample-controller+sample-source+security-guard+serving-progressive-rollout+.github+eventing-ceph+eventing-redis+func-tastic+kn-plugin-admin+kn-plugin-sample+kn-plugin-service-log+kn-plugin-source-kamelet+monitoring+caching+client-pkg+specs+ux,8044,4154,648,1586,334,2908,152,Knative,knative.dev
tikv,tikv+pd+client-go+client-rust+client-c+raft-rs+community+raft-engine+rfcs+yatp+pprof-rs+fail-rs+grpc-rs+titan+website+migration+rust-prometheus,7958,5645,765,1159,782,766,152,TiKV,tikv.org
strimzi,strimzi-kafka-operator+strimzi.github.io+proposals+strimzi-kafka-bridge+kafka-access-operator+drain-cleaner+metrics-reporter+strimzi-kafka-oauth+test-container+awesome-strimzi+governance+test-clients+kafka-kubernetes-config-provider+strimzi-mqtt-bridge+test-container-images+github-actions+client-examples+test-connectors,7007,5026,729,1432,317,935,152,Strimzi,strimzi.io
graphql,graphql-js+graphql.github.io+ai-wg+graphql-wg+graphiql+graphql-spec+community-wg+graphql-scalars+gaps+composite-schemas-spec+graphql-js-wg+swapi-graphql,3359,1111,702,2071,141,1405,152,GraphQL,graphql.org
opencost,opencost+opencost-helm-chart+opencost-website+opencost-ui+opencost-integration-tests+opencost-infra+bingen+opencost-ai+opencost-plugins,2647,1195,576,1631,93,783,147,OpenCost,kubecost.com
perses,perses+plugins+shared+helm-charts+website+community-dashboards+community-mixins+perses-operator+common+promql-builder+spec+examples-plugin+mcp-server+homebrew-tap+metrics-usage+cli-actions+github-actions,5377,2414,818,2262,486,1659,146,Perses,perses.dev
Kuadrant,mcp-gateway+kuadrant-operator+kuadrant-console-plugin+limitador-operator+dns-operator+architecture+authorino+wasm-shim+developer-portal-controller+docs.kuadrant.io+limitador+authorino-operator+testsuite+testsuite-pipelines+kuadrant-backstage-plugin+kuadrant.github.io+kuadrantctl+policy-machinery+gateway-api-console-plugin+gateway-api-state-metrics+helm-charts+threat-assessment-service+kuadrant-mcp-server+Kuadrant-MCP-Walkthrough+speaking-through-policies+testsuite-rptool+.github+governance-test+internal-extensions,6926,3391,787,6748,659,2089,145,Kuadrant,kuadrant.io
vitessio,vitess+website+arewefastyet+vitess-releaser+goyacc+enhancements+vitess-bot+vt,6616,2183,1469,1712,372,2592,142,Vitess,vitess.io
chaoss,CollectOSS+augur+wg-data-science+community+wg-ai-alignment+website+ai-detection-action+hugo+grimoirelab+education+grimoirelab-perceval+grimoirelab-core+grimoirelab-sortinghat+wg-package-metadata+augur-utilities+chaoss-africa+grimoirelab-elk+oscdb+grimoirelab-graal+grimoirelab-sigils,3298,1714,528,4314,352,704,141,CHAOSS,chaoss.community
dragonflyoss,client+dragonfly+nydus+d7y.io+community+helm-charts+console+api+vortex-protocol+snapshotter+design+dragonfly-injector+.github+image-service-website+monitoring+perf-tests,4687,1922,1099,1321,304,1362,136,Dragonfly,d7y.io/en-us
openkruise,agents+openkruise.io+kruise+kruise-game+charts+rollouts+kruise-tools,1864,926,374,722,185,379,134,OpenKruise,openkruise.io
kubescape,kubescape+helm-charts+regolibrary+regolibrary-dev+node-agent+storage+operator+kubevuln+kubescape.io+headlamp-plugin+cel-admission-library+k8s-interface+messaging+synchronizer+rulelibrary+backend+opa-utils+workflows+http-request+designs-and-proposals+host-scanner+prometheus-exporter+github-action+go-logger+helm-kubescape+homebrew-tap+lens-extension+load-simulator+backstage-plugin+packaging+vscode-kubescape+.project,2974,652,547,3717,91,1684,127,Kubescape,github.com/kubescape
spiffe,helm-charts-hardened+spiffe.io+spiffe+spike+spiffe-csi+spire-controller-manager+spike-sdk-go+spire-api-sdk+go-spiffe+spiffe-helper+spire-identity-exchange+spire-plugin-sdk+tornjak+aws-spiffe-workload-helper+java-spiffe+spiffefs+spire-controller-manager-dynamic-registration+bootc+spiffe-step-ssh+spire-examples+spire-ha-agent,3102,1086,468,1630,100,1448,126,Spiffe,spiffe.io
confidential-containers,cloud-api-adaptor+trustee+guest-components+confidentialcontainers.org+confidential-containers+td-shim+kbs-types+operator+charts+.github+trustee-operator+infra+.project+enclave-cc+reference-values,5353,3630,590,1944,181,952,123,Confidential Containers,github.com/confidential-containers
karmada-io,karmada+website+dashboard+community+multicluster-cloud-provider+playground+api,6589,5264,519,942,178,628,122,Karmada,Karmada.io
WasmEdge,WasmEdge+cpp-plugins+docs+devcontainer+wasmedge-spectest+wasmedgeup+www+homebrew-llvm+wasmedge-rust-sdk+.project+wasmedge_hyper_demo+mediapipe-rs+wasmedge-db-examples,3200,1799,307,957,200,894,121,WasmEdge Runtime,wasmedge.org
krkn-chaos,website+krkn+chaos-ai+krkn-ai+krkn-chaos-ai+krkn-lib+krkn-hub+krknctl+krkn-dashboard+krkn-assist+krkn-lightspeed+krkn-chaos-coordinator+actions+cerberus+krkn-demos+krkn-operator-console+krknctl-assist+krkn-http-load+krkn-operator+krkn-operator-acm+krkn-skills+scenarios-hub+visualize+chaos-member-check+krkn-funtests+krkn-lib-docs,2635,813,438,3534,204,1180,120,krkn,github.com/redhat-chaos/krknChaos
cadence-workflow,cadence+shard-manager+cadence-go-client+Cadence-Docs+cadence-idl+cadence-web+cadence-samples+cadence-java-client+cadence-python-client+starlark-worker+cadence-charts+cadence-java-samples+.github,5102,2809,1039,2893,104,1150,116,Cadence,cadenceworkflow.io
p4lang,p4c+behavioral-model+gsoc+p4mlir-incubator+tutorials+p4-spec+ptf+PI+p4-constraints+p4runtime+open-p4studio+p4runtime-shell+p4-dpdk-target,2677,1515,347,812,195,620,115,P4 Language,github.com/p4lang
thanos-io+thanos-community,thanos+helm-charts+promql-engine+thanos-parquet-gateway+thanos-operator+objstore+protoc-gen-go-thanos+kube-thanos,1858,910,290,1079,89,569,115,Thanos,thanos.io
coredns,coredns+helm+corefile-migration+ci+coredns.io+rrl+deployment,1274,476,251,345,82,465,114,CoreDNS,coredns.io
opentofu,opentofu+registry+setup-opentofu+registry-ui+opentofu.org+org+tofu-ls+opentofu-schema+vscode-opentofu+tofudl+provider-client+scripts+tofu-exec+get.opentofu.org+svchost+opentofu-mcp-server+opentofu-performance-testing,18753,2968,637,54929,1320,13828,114,OpenTofu,opentofu.org
flatcar,scripts+flatcar-website+sysext-bakery+nebraska+mantle+bootengine+ue-rs+Flatcar+ignition+flatcar-build-scripts+init+update_engine+.github+flatcar-linux-update-operator+garm-provider-linode+socials+baselayout+flatcar-demos+terraform-gcp-flatcar+flatcar-app-jitsi+flatcar-cloud-image-uploader+flatcar-terraform+locksmith+nss-altfiles+seismograph+update-ssh-keys+coreos-cloudinit+torcx+yardmaster+container-linux-config-transpiler+flatcar-app-minecraft+flatcar-dev-util+flatcar-ipxe-scripts+flatcar-mastodon+flatcar-packer-qemu+flatcar-release-mirror+flatcar-template-project+flatcar-tutorial+fleetlock+flog+lerobot+mayday+nebraska-update-agent+reports+sysroot-wrappers+updateservicectl+flatcar-automation+flatcar-socials-scripts,3779,1274,373,7821,215,1917,112,Flatcar,flatcar.org
operator-framework,operator-controller+operator-lifecycle-manager+java-operator-sdk+operator-registry+operator-marketplace+api+helm-operator-plugins+operator-sdk+ansible-operator-plugins+josdk-spring-boot-starter+community+josdk-webhooks+webhook-operator+kubectl-operator+olm-docs+operator-lib+operator-manifest-tools+audit+kpm+test-operator+tilt-support,5655,3551,543,1103,136,1425,110,Operator Framework,operatorhub.io
open-cluster-management-io,ocm+open-cluster-management-io.github.io+api+enhancements+sdk-go+lab+addon-framework+cluster-proxy+clusteradm+addon-contrib+policy-collection+managed-serviceaccount+cluster-permission+community+argocd-pull-integration+config-policy-controller+governance-policy-addon-controller+helm-charts+.project+governance-policy-framework-addon+governance-policy-propagator+multicluster-controlplane+policy-generator-plugin+ocm-vscode-extension,4460,2667,550,1196,94,1149,110,Open Cluster Management,open-cluster-management.io
longhorn,longhorn-manager+website+longhorn+longhorn-tests+longhorn-engine+longhorn-instance-manager+longhorn-spdk-engine+cli+longhorn-ui+longhorn-share-manager+upgrade-responder+backing-image-manager+go-spdk-helper+types+dep-versions+go-common-libs+backupstore+charts+release+go-iscsi-helper+bot+sparse-tools+external-image-builder+kbench+nfs-backupstore+nsfilelock,16113,7719,1702,4225,2597,4095,108,Longhorn,github.com/longhorn
microcks,microcks+microcks.io+microcks-cli+.github+community+microcks-quarkus+microcks-aspire+microcks-testcontainers-dotnet+microcks-operator+microcks-testcontainers-node+homebrew-tap+hub.microcks.io+microcks-backstage-provider+microcks-go-client+microcks-java-client+microcks-jenkins-plugin+microcks-postman-runtime+microcks-quarkus-demo+microcks-testcontainers-dotnet-demo+microcks-testcontainers-java+microcks-aspire-demo+microcks-spectral-ruleset+microcks-testcontainers-dotnet-workshop+microcks-testcontainers-go+microcks-testcontainers-java-spring-demo+api-lifecycle+community-mocks+import-github-action+microcks-docker-desktop-extension+microcks-images+microcks-mcp-server+microcks-quickstarters+microcks-testcontainers-java-workshop+microcks.github.io+test-github-action,2979,1138,409,1023,482,950,107,Microcks,microcks.io
rook,rook+kubectl-rook-ceph+rook.github.io,4882,3288,447,2402,280,867,101,Rook,rook.io
spdx,license-list-XML+spdx-3-model+spdx-spec+ntia-conformance-checker+tools-golang+spdx-online-tools+Spdx-Java-Library+tools-python+crypto-algorithms+cryptographic-algorithm-list+LicenseListPublisher+spdx-java-jackson-store+spdx-java-model-2_X+spdx-java-tagvalue-store+spdx-java-v3jsonld-store+spdx-python-model+tools-java+.github+spdx-license-diff+spdx-maven-plugin+outreach+spdx-java-model-3_0+spdx-license-matcher+spec-parser,7768,1693,541,2739,441,5093,101,SPDX,spdx.dev
unikraft,kraftkit+catalog+cli+unikraft+catalog-core+docs+gsoc+loupe+autokraft,2374,1151,353,2823,90,780,100,Unikraft,unikraft.org
connectrpc,connect-rust+connectrpc.com+connect-go+connect-swift+connect-es+connect-py+connect-python+otelconnect-go+vanguard-go+conformance+connect-query-es+validate-go+connect-dart+examples-es+grpchealth-go+validate-es+authn-go+connect-kotlin+connect-playwright-es+grpcreflect-go+.github+cors-go+envoy-demo+examples-go,2065,795,338,1289,85,847,100,Connect RPC,connectrpc.com
kubeovn,kube-ovn+docs+endpoint-health-checker+dnsnameresolver,3768,1021,548,1776,189,2010,98,Kube-OVN,kube-ovn.io
oauth2-proxy,oauth2-proxy+manifests+e2e-suite,1266,557,135,355,112,462,97,OAuth2-Proxy,oauth2-proxy.dev
opencontainers,runc+cgroups+distribution-spec+selinux+image-spec+runtime-spec+tob+runtime-tools+opencontainers.org+umoci+.github+go-digest+oci-conformance+specs.opencontainers.org+wg-auth,2942,2094,413,1395,120,315,95,OCI,opencontainers.org
metal3-io,baremetal-operator+metal3-docs+cluster-api-provider-metal3+ironic-image+ironic-standalone-operator+project-infra+metal3-dev-env+ip-address-manager+metal3-io.github.io+utility-images+community+ironic-ipa-downloader+.github+mariadb-image,9892,7232,696,2025,97,1867,95,metal3-io,metal3.io
kaito-project,kaito+airunway+kubeairunway+production-stack+aikit+kaito-kubectl-plugin+autoindexer+kaito-cookbook+kaito-pr-agent+headlamp-kaito+kaito-rag-api+keda-kaito-scaler+kaito.sh,4052,1689,617,2408,305,1441,93,KAITO,github.com/kaito-project/kaito
kairos-io,kairos-docs+AuroraBoot+kairos-init+kairos+provider-kubeadm+kairos-agent+hadron+community-bundles+provider-kairos+kairos-operator+kairos-sdk+provider-canonical+provider-k3s+provider-nodeadm+provider-rke2+community+immucore+cluster-api-provider-kairos+kairos-factory-action+kairos-must-burn+kcrypt-discovery-challenger+go-ukify+helm-charts+kairos-lab+osbuilder+packages+workshop-kubernetes-intro+kairos-installer+packages.kairos.io+provider-kubernetes+tpm-helpers+entangle-proxy+go-nodepair+homebrew-kairos+kairos-capi+kcrypt+linting-composite-action+oci2sysext+simple-mdns-server+hadron-layers+kairos-framework+netboot+provider-microk8s,8162,1362,598,3368,412,5790,93,Kairos,kairos.io
o3de,o3de+o3de-extras+o3de.org+3p-package-source+sig-release+tsc+hugo-odie,3048,1614,455,915,533,446,93,O3DE,o3de.org
oras-project,oras+rust-oci-client+oras-www+oras-dotnet+oras-go+setup-oras+oras-java+community+oras-py+oras-mcp,3130,1788,375,777,235,732,91,ORAS,oras.land
koordinator-sh,koordinator+website+koord-queue+charts+community+apis+client-java+yarn-copilot,1578,940,240,420,135,263,91,Koordinator,koordinator.sh
spiffe,spire,1698,772,214,292,108,604,90,Spire,spiffe.io
openebs,lvm-localpv+openebs+mayastor-extensions+dynamic-localpv-provisioner+mayastor-control-plane+mayastor+zfs-localpv+rawfile-localpv+website+mayastor-dependencies+openebs-e2e+spdk-rs+monitoring+linux-utils+community+lib-csi+.github+.project+google-analytics-4+mayastor-chart-donotuse+mayastor-jenkins-cron+openebs-chart-donotuse,7011,2923,379,3285,138,3571,90,OpenEBS,openebs.io
cortexproject,cortex+cortex-helm-chart+auth-gateway+promqlsmith+test-infra,2389,1112,329,583,97,851,88,Cortex,github.com/cortexproject
konveyor,editor-extensions+analyzer-lsp+rulesets+enhancements+tackle2-ui+kantra+operator+kai+ci+tackle-ui-tests+c-sharp-analyzer-provider+go-konveyor-tests+kantra-cli-tests+tackle2-hub+java-analyzer-bundle+tackle2-seed+koncur+release-tools+static-report+konveyor.github.io+asset-generation+kai-ci+tackle2-addon-analyzer+ai-rule-gen+builder+cf-k8s-helm-chart+community+mig-demo-apps+mta-tackle2-addon-platform+tackle2-addon-platform+hack_env_helpers+maven-search-index+tackle2-addon+tackle2-addon-discovery,8354,3493,1388,3790,1596,1877,88,Konveyor,konveyor.io
bootc-dev,bootc+ci-sandbox+community+bcvk+containers-image-proxy-rs+bink+infra+actions+ocidir-rs+bootc-dev.github.io+jsonrpc-fdpass-go+podman-bootc+bootc-operator+jsonrpc-fdpass+canon-json-rs+agent-skills,3994,2364,466,3328,191,973,86,bootc,containers.github.io/bootc
HolmesGPT+robusta-dev,holmesgpt+holmesgpt+homebrew-holmesgpt,6383,1687,825,3979,94,3777,85,HolmesGPT,holmesgpt.dev
kube-rs,kube+gateway-api-rs+kopium+website+controller-rs+envtest+k8s-pb+kube-cel+version-rs,1231,512,169,655,93,457,85,kube-rs,docs.rs/kube
cedar-policy,cedar+cedar-spec+cedar-docs+cedar-for-agents+cedar-examples+cedar-go+cedar-java+authorization-for-expressjs+cedar-integration-tests+rfcs+vscode-cedar+cedar-website+cedar-authorization+cedar-local-agent+highlightjs-cedar+prism-cedar+cedar-monaco-editor+cedar-awesome+cedar-access-control-for-k8s,4368,2182,594,1679,122,1470,85,Cedar Policy,cedarpolicy.com
lima-vm,lima+socket_vmnet+alpine-lima+go-qcow2reader+sshocker+lima-actions,4881,3431,560,1591,370,520,84,Lima,github.com/lima-vm/lima
k0sproject,k0s+k0sctl+k0smotron+blog+k0sproject.github.io+rig+bootloose+image-builder+cni-node+homebrew-tap+k0smotron.io+version+get+community,4924,1588,750,2980,260,2326,82,k0s,k0sproject.io
cartography-cncf,cartography+cartography.dev,5284,2058,543,1282,227,2456,82,Cartography,lyft.github.io/cartography
kubeedge,kubeedge+ianvs+website+dashboard+community+edgemesh+api+beehive+examples+sedna,1832,1212,295,450,146,179,81,KubeEdge,kubeedge.io
kube-vip,kube-vip+helm-charts+website+kube-vip-cloud-provider+kube-gateway,848,425,110,428,80,233,81,kube-vip,kube-vip.io
cloud-custodian,cloud-custodian+cel-python+tfparse+www.cloudcustodian.io,1080,603,167,259,153,157,81,Cloud Custodian,cloudcustodian.io
kcp-dev,kcp+kcp-operator+helm-charts+multicluster-provider+cli+sdk+api-syncagent+code-generator+apimachinery+client-go+embeddedetcd+virtual-workspace-framework+infra+kcp.io+contrib+contrib-filteredapiexport-vw+enhancements+init-agent+generic-controlplane+kcp-dev.github.io+krew-index+logicalcluster,2816,1702,304,1935,165,645,79,kcp,kcp.io
kubearmor,KubeArmor+kubearmor-client+policy-templates+otel-adapter+k8tls+kubearmor-relay-server+kubearmor.io+packer-plugin-kubearmor,2746,580,158,679,99,1909,78,KubeArmor,accuknox.com/kubearmor
openeverest+percona,openeverest+everest+everest.github.io+openeverest.github.io+everest-doc+openeverest-operator+helm-charts+provider-percona-server-mongodb+everest-catalog+openeverest-catalog+specs+provider-sdk+generic-plugin-template+plugin-mongodb-explorer+provider-percona-xtradb-cluster+homebrew-tap+hub+vision+.github+governance+plugin-audit+plugin-hub+roadmap,3619,553,299,5320,159,2608,77,OpenEverest,openeverest.io
cozystack+aenix-io,cozystack+website+talm+cozystack-ui+boot-to-talos+ccp+community+cozystack-telemetry-server+etcd-operator+cozyvalues-gen+etcd-operator+cozyhr+cozypkg+kilo-clustermesh-operator+ansible-cozystack+external-apps-example+kubeovn-chart+blockstor+cozy-proxy+.github+local-ccm+readme-generator-for-helm+talos-meta-tool+cozystack-scheduler+homebrew-tap+standalone-trustd,5730,1050,792,9840,234,3654,76,CozyStack,cozystack.io
project-zot,zot+helm-charts+project-zot.github.io+zui,1949,1109,259,475,159,422,74,zot,zotregistry.io
buildpacks+buildpacks-community,docs+pack+lifecycle+kpack+community+spec+kpack-cli+imgutil+github-actions+libcnb+profile+rfcs+samples+.github+registry-api+registry-index+registry-namespaces,2542,295,130,991,159,1958,74,Buildpacks,buildpacks.io
spinnaker,spinnaker+spinnaker.io,1981,955,268,377,62,696,74,Spinnaker,spinnaker.io
Samsung,TizenRT,2270,1780,288,862,1,201,73,Tizen,tizen.org
kube-burner,kube-burner-ocp+kube-burner+k8s-workloads,1450,906,256,376,97,191,71,kube-burner,cloud-bulldozer.github.io/kube-burner/
